n,points,time_sec,E,Em,E_1.5,A,Am,A_1.5
0,100,0.109802,0.8832001024,0.8412774400,0.8604230400,-0.3417600000,0.3984000000,0.3736000000
1,200,0.828972,0.8606919024,0.8290673664,0.8389743616,-0.3732400000,0.4134400000,0.4012800000
2,300,2.678272,0.8585170287,0.8191671625,0.8266628548,-0.3761422222,0.4252444444,0.4163377778
3,400,6.357622,0.8500142016,0.8182683100,0.8243048944,-0.3872800000,0.4263000000,0.4191600000
4,500,14.494950,0.8484012823,0.8196482566,0.8242981878,-0.3893568000,0.4246784000,0.4191680000
5,600,22.671979,0.8441048841,0.8185694372,0.8224257858,-0.3948355556,0.4259466667,0.4213955556
6,700,34.880584,0.8434864304,0.8194089984,0.8226744462,-0.3956179592,0.4249600000,0.4211004082
7,800,53.032981,0.8424386364,0.8200055737,0.8229210479,-0.3969400000,0.4242575000,0.4208075000
8,900,77.610617,0.8412129025,0.8205622033,0.8234605947,-0.3984809877,0.4236009877,0.4201659259
9,1000,108.193609,0.8397374924,0.8209951904,0.8235381706,-0.4003280000,0.4230896000,0.4200736000
