n,points,E_EM,E_Mil,E_2star,E_lim,E_1_5,A_EM,A_Mil,A_2star,A_lim,A_1_5
0,100,54.406053187199994,32.086919383199998,31.077522115199997,0.019149321176548,30.681953279999998,0.669228520611607,0.245683977499551,0.179549115286041,0.240979697187469,-0.011256997823576
1,200,83.966128615200006,47.211997779999997,45.707516298450003,0.019188332722650,45.419023859200003,0.732960697991373,0.233414266916142,0.163290237154583,0.241325127776999,-0.027131914786834
2,300,109.016829220000005,61.370928101343210,59.825642133688888,0.019167918331583,59.316282743466665,0.780083828828671,0.262527689102843,0.195306254323249,0.241412579969552,0.001304215387801
3,400,129.953001971953114,71.661720908203122,69.830132026528119,0.019128358238290,69.270383536200001,0.815863363589072,0.269247268875424,0.201873657201416,0.241316593084075,0.002542400440529
4,500,148.149934038053118,81.421785151636485,79.190259391627521,0.019140739927138,78.564154101408008,0.828370184124755,0.269257587383383,0.203371109975040,0.241346838664060,0.001642739175889
5,600,165.392615476252473,90.116486101688892,87.936887708743200,0.019147958137649,87.045341327808032,0.833133356920840,0.262590743003462,0.197250720689039,0.241386034264181,-0.002749741963203
6,700,179.758325755848716,98.567913567881376,95.986477440571761,0.019159439155166,95.370946123468883,0.843499488445868,0.260996331736375,0.196044841391970,0.241367090707488,-0.006577559290047
7,800,194.113189908653197,105.082661312298640,102.678554015819529,0.019152237154440,101.849512669968945,0.852616614514876,0.262173487792666,0.197201633310859,0.241331764007159,-0.004009991403318
8,900,207.239446593699995,112.490197634626540,109.772956375117090,0.019146736491647,108.827390285691209,0.868378550825934,0.271074487399925,0.204402580723368,0.241309828529854,-0.000575840902514
9,1000,219.868926178086895,119.047597573582067,116.102643748508882,0.019143205723612,115.314958658951994,0.863387874546031,0.267514534965718,0.198740663909333,0.241311801337636,-0.003307725502517
