n,points,E,Em,E_1_5,Eb,EL,A,Am,A_1_5,Ab,AL
0,100,0.9777154816,0.9527894016,0.9579913984,0.9562018816,0.0033999644,-0.1492800000,0.2172800000,0.2049600000,0.2092800000,0.3736169631
1,200,0.9756265456,0.9551915776,0.9573990400,0.9563022784,0.0033671876,-0.1561200000,0.2116800000,0.2064000000,0.2090400000,0.3740597693
2,300,0.9724292425,0.9578017106,0.9594505706,0.9588036301,0.0033713530,-0.1660444444,0.2054222222,0.2013688889,0.2029688889,0.3742787042
3,400,0.9718431600,0.9596833759,0.9609068016,0.9603671536,0.0033669090,-0.1678000000,0.2007900000,0.1977200000,0.1990800000,0.3742514641
4,500,0.9697874419,0.9604441999,0.9614634832,0.9610502935,0.0033663813,-0.1738176000,0.1988864000,0.1963072000,0.1973568000,0.3743749347
5,600,0.9689394624,0.9617771433,0.9626445596,0.9623087976,0.0033606911,-0.1762400000,0.1955066667,0.1932755556,0.1941422222,0.3743493446
6,700,0.9683293668,0.9619186281,0.9626062278,0.9623418253,0.0033679238,-0.1779624490,0.1951444898,0.1933746939,0.1940571429,0.3743458638
7,800,0.9683062092,0.9620500379,0.9626863169,0.9624289619,0.0033832605,-0.1780275000,0.1948075000,0.1931675000,0.1938325000,0.3743232322
8,900,0.9675445096,0.9626390236,0.9632148437,0.9630008601,0.0033854036,-0.1801540741,0.1932898765,0.1917945679,0.1923516049,0.3742783699
9,1000,0.9680671678,0.9624477613,0.9629415940,0.9627584108,0.0033755715,-0.1786976000,0.1937840000,0.1925056000,0.1929808000,0.3743367928
