n,points,E,Em,E_1.5,E_lim,A,Am,A_1.5,A_lim
0,400,1.7954393079,1.786374681048438,1.787909318673438,0.639405349545134,0.64339,0.00422125,0.00657125,0.651902644992578
1,500,1.79313479205824,1.78404118777856,1.78530141619136,0.641605085251463,0.6446776,0.0040512,0.0058808,0.652388234644943
2,600,1.793175497402469,1.78324319051358,1.784270600330556,0.644457080904652,0.645724444444444,0.001864444444444,0.003568333333333,0.65227757073301
3,700,1.791277197058559,1.783752033303457,1.784502983756768,0.642393325643141,0.646238367346939,0.001198367346939,0.002530612244898,0.651572708325392
4,800,1.791354698917871,1.782639255015235,1.78343282359375,0.641333122460704,0.6464090625,0.000863125,0.0021625,0.651890040463028
5,900,1.79166068797415,1.785574817887517,1.786283938117726,0.642841721172738,0.647962469135802,0.00157037037037,0.002723950617284,0.652004184646513
6,1000,1.79070838991216,1.78416923367484,1.78485205581724,0.643132951926769,0.6481972,0.0008754,0.0018826,0.652188733450426
0,100,1.7874882044,1.79183196,1.7958992124,0.645871422805104,0.62366,0.0298,0.03874,0.654686621744657
1,200,1.7886309084,1.780291056775,1.782479973775,0.645802401479188,0.63946,0.008885,0.013785,0.653632432363871
2,300,1.790613148044444,1.785874794424691,1.787414036735802,0.653505644350066,0.639913333333333,0.006384444444444,0.009624444444444,0.653720434150984
